MS,File gốc (Desktop/AI_DLA_ADS_2160x2700),Dáng,Mood,Mô tả VI,Mô tả EN
MS 56,DLA_00_01_05_7_thg_9_2026.png,mermaid,editorial,"Dáng ôm lụa, chân ren xuyên thấu","Fitted silk, sheer lace skirt"
MS 57,DLA_00_07_44_7_thg_9_2026.png,mermaid,minimal,"Satin xẻ tà cao, thân rủ","Draped satin, high slit"
MS 58,DLA_00_09_25_7_thg_9_2026.png,mermaid,minimal,"Satin trễ vai, điểm ngọc nhỏ","Off-shoulder satin, pearl details"
MS 59,DLA_00_12_16_7_thg_9_2026.png,a-line,minimal,"Satin trơn, cổ ngang","Plain satin, straight neckline"
MS 60,DLA_00_35_51_7_thg_9_2026.png,a-line,timeless,Satin cổ thuyền,"Satin, bateau neckline"
MS 61,DLA_00_48_21_7_thg_9_2026.png,a-line,timeless,"Satin cổ vuông, hai dây","Satin, square neckline"
MS 62,DLA_00_56_20_7_thg_9_2026.png,a-line,minimal,"Satin trễ vai, thắt eo","Off-shoulder satin, belted"
MS 63,DLA_01_09_15_7_thg_9_2026.png,ballgown,timeless,"Satin trễ vai, tùng xoè","Off-shoulder satin, full skirt"
MS 64,DLA_01_11_30_7_thg_9_2026.png,ballgown,romantic,"Thân ren hoa, tùng satin","Lace bodice, satin skirt"
MS 65,DLA_12_15_18_8_thg_9_2026.png,ballgown,romantic,"Ren toàn thân, tùng xoè","All-over lace, full skirt"
MS 66,DLA_12_26_46_8_thg_9_2026.png,ballgown,romantic,"Ren hoa trễ vai, tùng voan","Off-shoulder floral lace, tulle skirt"
MS 67,DLA_12_40_27_8_thg_9_2026.png,ballgown,romantic,"Ren hoa cổ tim, tùng xoè","Floral lace, sweetheart, full skirt"
MS 68,DLA_13_31_46_8_thg_9_2026.png,ballgown,romantic,"Hoa nổi 3D, tùng voan xoè","3D florals, full tulle skirt"
MS 69,DLA_13_35_13_7_thg_9_2026.png,ballgown,timeless,"Satin trễ vai, tay bồng","Off-shoulder satin, puff sleeves"
MS 70,DLA_13_35_15_8_thg_9_2026.png,mermaid,romantic,"Ren tay dài, tùng voan xuyên thấu","Long-sleeve lace, sheer overskirt"
MS 71,DLA_13_41_11_8_thg_9_2026.png,a-line,romantic,"Ren hoa mềm, dáng chữ A","Soft floral lace, A-line"
MS 72,DLA_13_48_53_6_thg_9_2026.png,ballgown,editorial,"Nơ lớn ngang eo, tùng xoè","Statement bow, full skirt"
MS 73,DLA_13_49_11_8_thg_9_2026.png,a-line,romantic,"Ren tay dài, dáng chữ A","Long-sleeve lace, A-line"
MS 74,DLA_13_55_06_8_thg_9_2026.png,ballgown,romantic,"Ren tay dài cổ tim, tùng xoè","Long-sleeve lace, sweetheart, full skirt"
MS 75,DLA_13_57_02_6_thg_9_2026.png,a-line,editorial,Voan rủ bất đối xứng,Asymmetric draped tulle
MS 76,DLA_13_59_04_6_thg_9_2026.png,mermaid,editorial,"Dáng ôm lấp lánh, tùng rời","Fitted sparkle, detachable overskirt"
MS 77,DLA_14_00_27_6_thg_9_2026.png,mermaid,romantic,"Ren đính kết trễ vai, đuôi cá",Off-shoulder beaded lace mermaid
MS 78,DLA_14_01_52_6_thg_9_2026.png,mermaid,editorial,"Đính kết xuyên thấu, đuôi cá",Sheer beaded mermaid
MS 79,DLA_14_08_48_6_thg_9_2026.png,mermaid,romantic,"Ren tay dài, dáng ôm","Long-sleeve lace, fitted"
MS 80,DLA_14_16_35_6_thg_9_2026.png,mermaid,romantic,"Ren đính kết, đuôi cá",Beaded lace mermaid
MS 81,DLA_14_20_10_7_thg_9_2026.png,a-line,editorial,Satin xếp tầng bất đối xứng,Asymmetric layered satin
MS 82,DLA_14_30_54_6_thg_9_2026.png,mermaid,editorial,"Đính kết tay dài, đuôi cá",Long-sleeve beaded mermaid
MS 83,DLA_14_33_51_6_thg_9_2026.png,mermaid,editorial,"Đính kết trễ vai, tay voan","Off-shoulder beaded, sheer sleeves"
MS 84,DLA_14_34_03_8_thg_9_2026.png,a-line,romantic,"Hoa nổi 3D, dáng chữ A","3D florals, A-line"
MS 85,DLA_14_36_31_7_thg_9_2026.png,ballgown,timeless,"Satin tay bồng, cổ V","Satin puff sleeves, V-neck"
MS 86,DLA_14_42_22_6_thg_9_2026.png,mermaid,editorial,"Đính kết, đuôi cá xếp lớp","Beaded, layered mermaid"
MS 87,DLA_14_42_53_4_thg_9_2026.png,ballgown,editorial,"Lấp lánh toàn thân, tùng xoè",All-over sparkle ballgown
MS 88,DLA_14_44_47_7_thg_9_2026.png,ballgown,editorial,"Organza xếp tầng, tùng xoè",Layered organza ballgown
MS 89,DLA_14_45_22_6_thg_9_2026.png,mermaid,editorial,"Corset đính kết, xẻ tà","Beaded corset, slit"
MS 90,DLA_14_46_44_8_thg_9_2026.png,a-line,romantic,"Ren cổ xuyên thấu, dáng chữ A","Illusion neckline lace, A-line"
MS 91,DLA_14_47_33_4_thg_9_2026.png,a-line,romantic,"Hoa nổi trên voan, dáng chữ A","3D florals on tulle, A-line"
MS 92,DLA_14_47_50_6_thg_9_2026.png,mermaid,romantic,"Ren đính kết trễ vai, dáng đuôi cá","Off-shoulder beaded lace, mermaid"
MS 93,DLA_14_54_40_6_thg_9_2026.png,mermaid,editorial,Corset đính kết trễ vai,Off-shoulder beaded corset
MS 94,DLA_14_56_37_4_thg_9_2026.png,mermaid,editorial,"Corset satin, chân đính kết","Satin corset, beaded skirt"
MS 95,DLA_14_58_08_6_thg_9_2026.png,mermaid,romantic,"Ren trễ vai, tùng voan rời","Off-shoulder lace, detachable tulle"
MS 96,DLA_14_58_52_4_thg_9_2026.png,a-line,romantic,"Corset ren hoa, dáng chữ A","Corset, floral lace, A-line"
MS 97,DLA_15_02_05_6_thg_9_2026.png,mermaid,romantic,"Ren đính kết, đuôi cá mềm","Beaded lace, soft mermaid"
MS 98,DLA_15_03_58_4_thg_9_2026.png,ballgown,editorial,Tùng xếp cánh hoa,Petal-layered ballgown
MS 99,DLA_15_05_58_6_thg_9_2026.png,mermaid,romantic,"Ren đính kết trễ vai, dáng ôm","Off-shoulder beaded lace, fitted"
MS 100,DLA_15_14_58_7_thg_9_2026.png,a-line,romantic,"Voan mềm, hoa điểm eo","Soft tulle, floral waist"
MS 101,DLA_15_18_13_4_thg_9_2026.png,a-line,minimal,"Satin lệch vai, hoa điểm","One-shoulder satin, floral detail"
MS 102,DLA_15_20_09_7_thg_9_2026.png,ballgown,romantic,"Ren hoa hai dây, tùng xoè","Floral lace straps, full skirt"
MS 103,DLA_15_20_54_4_thg_9_2026.png,ballgown,timeless,"Satin champagne, tùng xoè",Champagne satin ballgown
MS 104,DLA_15_22_53_7_thg_9_2026.png,a-line,romantic,"Ren hoa cổ ngang, dáng chữ A","Floral lace, straight neckline, A-line"
MS 105,DLA_15_25_10_7_thg_9_2026.png,a-line,romantic,Voan lấp lánh cổ vuông,"Sparkle tulle, square neckline"
MS 106,DLA_15_28_40_7_thg_9_2026.png,ballgown,romantic,"Ren hoa trễ vai, tùng xoè","Off-shoulder floral lace, full skirt"
MS 107,DLA_15_33_41_7_thg_9_2026.png,ballgown,romantic,"Ren hoa trễ vai, tùng voan","Off-shoulder lace, tulle skirt"
MS 108,DLA_15_59_03_7_thg_9_2026.png,ballgown,timeless,"Ren hoa toàn thân, tùng xoè","All-over floral lace, full skirt"
